Word,Freq_Per_Mil,Log_Freq,Word_Syll
672,affiant,0.02,0.301,3
673,affidavit,1.96,2.0043,4
674,affidavits,0.61,1.5051,4
675,affiliate,0.29,1.2041,4
676,affiliated,0.78,1.6128,5
677,affiliates,0.33,1.2553,4
678,affiliation,0.49,1.415,5
679,affiliations,0.27,1.1761,5
680,affinity,0.57,1.4771,4
681,affirm,0.33,1.2553,2
682,affirmation,0.53,1.4472,4
683,affirmations,0.2,1.0414,4
684,affirmatively,0.06,0.6021,5
685,affirmed,0.14,0.9031,2
686,affirming,0.06,0.6021,3
687,affirms,0.04,0.4771,2
688,affix,0.12,0.8451,2
689,affixed,0.02,0.301,2
690,afflict,0.08,0.699,2
691,afflicted,1.27,1.8195,3
692,afflicting,0.12,0.8451,3
693,affliction,1.18,1.7853,3
694,afflictions,0.16,0.9542,3
695,afflicts,0.06,0.6021,2
696,affluence,0.14,0.9031,3
697,affluent,0.29,1.2041,3
698,afford,44.43,3.3555,2
699,affordability,0.02,0.301,6
700,affordable,0.65,1.5315,4
701,afforded,0.53,1.4472,3
702,affording,0.16,0.9542,3
703,affords,0.27,1.1761,2
704,affront,0.59,1.4914,2
705,affronted,0.04,0.4771,3
706,aficionado,0.22,1.0792,5
707,aficionados,0.1,0.7782,5
708,afield,0.12,0.8451,2
709,afire,0.49,1.415,2
710,aflame,0.33,1.2553,2
711,afloat,1.67,1.9345,2
712,aflutter,0.08,0.699,3
713,afoot,1.02,1.7243,2
714,aforementioned,0.47,1.3979,4
715,aforesaid,0.08,0.699,3
716,aforethought,0.06,0.6021,3
717,afoul,0.22,1.0792,2
718,afraid,247.67,4.1015,2
719,afresh,0.25,1.1461,2
720,aft,3.53,2.2577,1
721,after,682.59,4.5417,2
722,afterburner,0.04,0.4771,4
723,afterburners,0.06,0.6021,4
724,aftereffect,0.06,0.6021,4
725,aftereffects,0.14,0.9031,4
726,afterglow,0.31,1.2304,3
727,afterimage,0.04,0.4771,4
728,afterlife,1.59,1.9138,3
729,aftermarket,0.04,0.4771,4
730,aftermath,1.04,1.7324,3
731,aftermaths,0.02,0.301,3
732,afternoon,91.49,3.669,3
733,afternoons,1.98,2.0086,3
734,aftershave,1.08,1.7482,3
735,aftershaves,0.02,0.301,3
736,aftershock,0.24,1.1139,3
737,aftershocks,0.02,0.301,3
738,aftertaste,0.22,1.0792,3
739,afterthought,0.25,1.1461,3
740,afterthoughts,0.04,0.4771,3
741,afterward,2.2,2.0531,3
742,afterwards,14.0,2.8543,3
743,again,792.71,4.6067,2
744,against,201.73,4.0124,2
745,agate,0.04,0.4771,2
746,agates,0.02,0.301,2
747,age,79.2,3.6064,1
748,aged,3.59,2.2648,1
749,ageless,0.29,1.2041,2
750,agencies,3.22,2.2175,3
751,agency,19.43,2.9965,3
752,agenda,7.31,2.5729,3
753,agendas,0.41,1.3424,3
754,agents,21.06,3.0314,2
755,ageratum,0.02,0.301,4
756,ages,11.12,2.7543,2
757,agglutinate,0.02,0.301,4
758,aggrandize,0.02,0.301,3
759,aggrandizement,0.02,0.301,4
760,aggrandizing,0.02,0.301,4
761,aggravate,0.73,1.5798,3
762,aggravated,1.25,1.8129,4
763,aggravates,0.18,1.0,3
764,aggravating,0.47,1.3979,4
765,aggravation,1.16,1.7782,4
766,aggregate,0.2,1.0414,3
767,aggress,0.04,0.4771,2
768,aggression,2.8,2.1584,3
769,aggressions,0.08,0.699,3
770,aggressive,7.94,2.6085,3
771,aggressively,0.69,1.5563,4
772,aggressiveness,0.39,1.3222,4
773,aggressor,0.57,1.4771,3
774,aggressors,0.29,1.2041,3
775,aggrieved,0.2,1.0414,2
776,aghast,0.14,0.9031,2
777,agile,0.39,1.3222,2
778,agility,0.45,1.3802,4
779,agin,0.41,1.3424,2
780,aging,2.57,2.1206,2
781,agitate,0.43,1.3617,3
782,agitated,2.51,2.1106,4
783,agitating,0.14,0.9031,4
784,agitation,0.49,1.415,4
785,agitator,0.22,1.0792,4
786,agitators,0.25,1.1461,4
787,agitprop,0.02,0.301,3
788,aglow,0.47,1.3979,2
789,agnostic,0.37,1.301,3
790,ago,286.12,4.1641,2
791,agog,0.12,0.8451,2
792,agonies,0.24,1.1139,3
793,agonist,0.02,0.301,3
794,agonize,0.1,0.7782,3
795,agonized,0.24,1.1139,3
796,agonizing,0.71,1.5682,4
797,agony,3.75,2.2833,3
798,agora,0.02,0.301,3
799,agoraphobia,0.14,0.9031,6
800,agrarian,0.16,0.9542,4
801,agree,64.67,3.5184,2
802,agreeable,1.59,1.9138,4
803,agreed,35.92,3.2632,2
804,agreeing,2.08,2.0294,3
805,agreement,17.49,2.9509,3
806,agreements,0.8,1.6232,3
807,agrees,4.29,2.3424,2
